City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country
Clyde River,70.47,-68.59,42.84,76,0,5.32,CA
Salamanca,40.83,-6.0,72.0,68,82,6.93,ES
Antofagasta,-23.65,-70.4,55.4,76,90,2.24,CL
Mar del Plata,-38.0,-57.56,42.8,56,52,11.41,AR
Srednekolymsk,67.45,153.68,71.53,41,0,7.25,RU
Ribeira Grande,38.52,-28.7,69.8,83,75,13.87,PT
Port Alfred,-33.59,26.89,60.01,56,0,5.01,ZA
Avarua,-21.21,-159.78,71.6,88,100,5.82,CK
Geraldton,-28.77,114.6,77.0,16,0,10.29,AU
Albany,42.6,-73.97,73.99,91,74,7.52,US
Busselton,-33.65,115.33,62.01,43,0,20.89,AU
Kiryat Gat,31.61,34.76,87.01,60,0,7.0,IL
Chaman,30.92,66.45,98.42,9,0,17.72,PK
Ahmadpur,18.7,76.93,89.08,54,90,10.18,IN
Muros,42.78,-9.06,75.0,67,3,3.0,ES
Soligalich,59.08,42.29,65.68,59,82,7.49,RU
Hithadhoo,-0.6,73.08,85.01,71,78,9.4,MV
Province of Mantua,45.17,10.78,75.99,53,16,9.17,IT
Atuona,-9.8,-139.03,79.36,78,92,17.83,PF
Portland,45.52,-122.68,64.0,74,96,1.12,US
Shimoda,34.67,138.95,80.6,74,75,13.87,JP
Guerrero Negro,27.98,-114.06,71.56,62,1,9.75,MX
Manta,-0.95,-80.73,72.03,88,95,5.32,EC
Klaksvík,62.23,-6.59,50.0,100,75,5.82,FO
Denpasar,-8.65,115.22,82.4,83,20,16.11,ID
Bengkulu,-3.8,102.27,82.74,75,37,1.68,ID
Hilo,19.73,-155.09,73.4,88,90,4.7,US
Sibolga,1.74,98.78,82.13,73,99,4.41,ID
Alvorada,-12.48,-49.12,72.03,54,60,4.83,BR
Port Antonio,18.18,-76.46,82.4,65,20,8.05,JM
Chabahar,25.29,60.64,87.21,74,0,15.77,IR
Hermanus,-34.42,19.23,55.0,70,0,1.99,ZA
Yangi Marg`ilon,40.43,71.72,89.6,25,0,4.7,UZ
Richards Bay,-28.78,32.04,62.33,61,95,13.11,ZA
Ramla,31.93,34.87,84.99,62,40,10.29,IL
Kapaa,22.08,-159.32,78.8,78,40,19.46,US
Guiyang,26.58,106.72,73.4,88,90,11.18,CN
Saint-Philippe,-21.36,55.77,77.0,65,36,10.29,RE
Bluff,-46.6,168.33,39.0,83,88,3.0,NZ
Cape Town,-33.93,18.42,60.01,66,0,13.87,ZA
Tasiilaq,65.61,-37.64,41.0,86,89,4.7,GL
Khatanga,71.97,102.5,53.1,93,100,16.71,RU
Butaritari,3.07,172.79,83.79,78,49,15.46,KI
Lavrentiya,65.58,-171.0,48.36,72,13,2.19,RU
Norman Wells,65.28,-126.83,50.0,100,90,8.05,CA
Tuktoyaktuk,69.45,-133.04,38.23,88,80,6.26,CA
Raja,8.46,25.68,82.87,63,98,3.91,SS
Acapulco de Juárez,16.86,-99.89,79.84,78,100,10.27,MX
Ushuaia,-54.8,-68.3,35.6,80,42,18.34,AR
Bethel,41.37,-73.41,68.0,94,0,7.58,US
Cherskiy,68.75,161.3,48.51,95,100,7.56,RU
Lompoc,34.64,-120.46,55.0,93,0,7.02,US
Barrow,71.29,-156.79,35.6,80,90,6.93,US
Banyo,6.75,11.82,73.29,80,100,0.81,CM
Port Elizabeth,-33.92,25.57,55.4,50,5,11.41,ZA
Kavieng,-2.57,150.8,83.37,72,50,5.79,PG
Lefka,35.11,32.85,95.0,70,20,10.29,CY
Ambon City,-3.7,128.18,82.0,13,29,13.0,ID
Vaini,-21.2,-175.2,71.6,78,40,11.41,TO
Mnogovershinnyy,53.94,139.92,58.8,77,80,3.8,RU
Inongo,-1.95,18.27,75.6,69,74,4.27,CD
Batagay-Alyta,67.8,130.41,66.94,75,100,13.38,RU
Carutapera,-1.2,-46.02,73.22,93,36,2.55,BR
Masagua,14.2,-90.85,71.1,84,45,4.63,GT
Rikitea,-23.12,-134.97,70.41,69,100,13.6,PF
Bredasdorp,-34.53,20.04,53.6,62,0,9.17,ZA
Kisaran,2.98,99.62,88.3,56,65,4.41,ID
Tateyama,34.98,139.87,82.99,74,75,13.87,JP
Paamiut,61.99,-49.67,42.58,83,85,2.15,GL
Sebring,27.5,-81.44,78.8,94,1,5.82,US
Ust-Tsilma,65.44,52.15,67.53,68,48,13.02,RU
Hamilton,39.18,-84.53,68.0,88,75,9.17,US
Anzio,41.49,12.62,87.01,59,0,4.0,IT
Mount Gambier,-37.83,140.77,50.0,93,0,6.93,AU
Flinders,-34.58,150.86,54.0,83,88,1.01,AU
New Norfolk,-42.78,147.06,45.0,90,90,1.43,AU
Punta Arenas,-53.15,-70.92,24.8,85,45,6.93,CL
Bambous Virieux,-20.34,57.76,75.99,78,75,16.11,MU
Mataura,-46.19,168.86,39.0,83,48,3.0,NZ
Sémbé,1.65,14.58,79.03,77,44,4.38,CG
Camopi,3.17,-52.32,70.63,97,22,0.67,GF
Hobart,-42.88,147.33,45.0,87,20,1.12,AU
Hasaki,35.73,140.83,72.0,83,75,11.41,JP
Sitka,57.05,-135.33,51.8,87,40,3.36,US
Lahaina,20.88,-156.68,80.6,61,40,11.41,US
Sibu,2.3,111.82,82.4,78,40,2.24,MY
Severo-Kuril'sk,50.68,156.12,49.24,93,100,10.71,RU
Nikolskoye,59.7,30.79,64.4,59,75,8.95,RU
Chokurdakh,70.63,147.92,69.35,48,74,14.85,RU
Talnakh,69.49,88.4,62.6,51,75,11.18,RU
Virginia Beach,36.85,-75.98,75.2,78,20,3.36,US
Saint-Pierre,-21.34,55.48,77.0,65,1,10.29,RE
Laguna,38.42,-121.42,71.6,40,1,4.7,US
Puerto Ayora,-0.74,-90.35,66.99,92,74,5.01,EC
São Filipe,14.9,-24.5,73.02,80,40,8.23,CV
Shache,38.42,77.24,93.45,13,100,3.42,CN
Pevek,69.7,170.31,49.51,83,96,2.86,RU
Lima,-12.04,-77.03,59.0,87,90,9.17,PE
Codrington,-38.27,141.97,50.47,88,0,8.88,AU
Maniitsoq,65.42,-52.9,44.31,72,1,6.2,GL
Pisco,-13.7,-76.22,53.6,81,0,6.93,PE
Qaanaaq,77.48,-69.36,44.56,61,0,7.0,GL
Isangel,-19.55,169.27,72.82,84,10,13.13,VU
Karpogory,64.0,44.45,57.31,85,100,15.73,RU
Eshowe,-28.89,31.47,59.05,41,34,8.99,ZA
Cabedelo,-6.98,-34.83,75.94,79,35,16.49,BR
Nome,64.5,-165.41,60.8,63,1,9.37,US
Conceição do Araguaia,-8.26,-49.26,70.75,59,35,3.22,BR
Lebu,-37.62,-73.65,48.99,87,100,5.26,CL
Olinda,-8.01,-34.86,78.8,74,75,6.93,BR
Haimen,23.19,116.61,95.0,59,40,11.18,CN
Hualmay,-11.1,-77.61,58.32,85,77,5.59,PE
Port Shepstone,-30.74,30.45,61.66,41,30,5.48,ZA
Bandarbeyla,9.49,50.81,92.12,41,97,30.56,SO
Haines Junction,60.75,-137.51,44.26,84,94,4.16,CA
Saldanha,-33.01,17.94,50.0,71,22,5.82,ZA
Carnarvon,-24.87,113.63,78.8,27,0,10.29,AU
Faya,18.39,42.45,93.2,14,40,11.41,SA
Constitución,-35.33,-72.42,47.97,72,100,4.05,CL
St. George's,12.06,-61.75,82.4,83,20,12.75,GD
Lūnāvāda,23.13,73.62,95.04,51,78,12.95,IN
Chicama,-7.84,-79.15,61.54,84,24,3.91,PE
Iqaluit,63.75,-68.51,41.0,100,90,6.93,CA
Abu Dhabi,24.47,54.37,111.2,17,16,9.17,AE
Camacha,33.08,-16.33,69.8,73,40,11.41,PT
Fairbanks,64.84,-147.72,57.2,76,1,3.36,US
Ibrā’,22.69,58.53,108.12,16,31,7.09,OM
Bonnyville,54.27,-110.73,64.4,88,75,8.05,CA
Mâncio Lima,-7.61,-72.9,68.61,89,0,0.94,BR
Pingliang,35.54,106.69,72.19,63,96,7.09,CN
Narwar,25.65,77.9,95.97,45,38,10.11,IN
Coquimbo,-29.95,-71.34,44.6,100,9,2.24,CL
Montalvo,-1.8,-79.33,72.82,83,95,1.43,EC
Koróni,36.8,21.95,84.2,48,20,6.93,GR
Yellowknife,62.46,-114.35,60.01,87,40,3.36,CA
Saint George,37.1,-113.58,87.8,20,1,4.0,US
Airai,-8.93,125.41,62.85,100,100,4.25,TL
Narsaq,60.92,-46.05,46.4,87,98,4.7,GL
Arraial do Cabo,-22.97,-42.03,70.43,80,98,15.88,BR
Rantauprapat,2.1,99.83,88.25,66,70,1.68,ID
Caconda,-13.73,15.07,72.77,21,20,10.47,AO
Santa Vitória do Palmar,-33.52,-53.37,40.84,80,29,4.99,BR
Andenes,69.31,16.12,51.8,87,75,5.82,NO
Kutoarjo,-7.72,109.91,81.93,71,92,10.07,ID
Itarema,-2.92,-39.92,73.67,85,6,9.06,BR
Shiraoi,42.55,141.35,73.0,93,75,11.41,JP
Fortuna,40.6,-124.16,54.0,93,1,5.82,US
Yar-Sale,66.83,70.83,58.89,72,97,5.73,RU
Santo Domingo,18.5,-69.99,80.01,100,20,5.26,DO
Upernavik,72.79,-56.15,41.5,81,84,4.36,GL
Cape Canaveral,28.41,-80.6,79.0,88,1,6.93,US
Tautira,-17.73,-149.15,77.0,65,40,4.7,PF
Ilulissat,69.22,-51.1,44.6,70,93,2.24,GL
Nanortalik,60.14,-45.24,43.07,91,99,5.03,GL
Tūkrah,32.53,20.58,80.4,57,0,11.63,LY
Bang Saphan,11.21,99.51,89.6,66,40,12.75,TH
Saskylakh,71.92,114.08,71.89,45,42,23.49,RU
Lumeje,-11.55,20.78,76.77,19,0,10.07,AO
Saint Paul Harbor,57.79,-152.41,57.2,76,75,10.29,US
Arrondissement de Sarreguemines,49.08,7.33,72.0,42,0,8.05,FR
Chui,-33.7,-53.46,40.3,78,30,3.94,UY
San Rafael del Sur,11.85,-86.44,75.2,88,40,4.7,NI
